Date,Name and Loc,Rating,Title,Review
Date of experience: June 2018,"praveenhvrBangalore District, India","<span class=""ui_bubble_rating bubble_40""></span>","The beach is always carry less crowd ,less facilities for the traveler and traveler have to take care them self",Low Crowded Beach
Date of experience: November 2018,"DATTA74Durgapur, India","<span class=""ui_bubble_rating bubble_40""></span>","Different from other sandy beaches of Goa, ANJUNA is rocky where someone can sink maximum  up to knees. As bathing is not possible, it is less crowded. Located at a countryside, this small patch of land is engulfed by diversity, unmindfully created by nature itself....More",A beach breaking codes 
Date of experience: October 2018,"ameyparsekarGoa, India","<span class=""ui_bubble_rating bubble_40""></span>",The most beautiful and less crowded beach which we saw in our childhood is slowly attracting a lot of crowd . The vibe is still the same. Some good restaurants around.,Changing times
Date of experience: October 2018,"Pradhan_MMumbai, India","<span class=""ui_bubble_rating bubble_30""></span>",Anjuna beach is very far from the city... no major facilities is available at the beach....one can avoid visiting in days time,Very Far from City
Date of experience: December 2018,"S5757MNdavidnWigan, United Kingdom","<span class=""ui_bubble_rating bubble_10""></span>",Not impressed at all with the beach. Almost impossible to swim as there are sharp rocks/coral type sharp rocks from where the sea meets the sand way into the sea - no gaps! Tried sitting on my backside and moving like a crab to get...More,Worst beach in Goa?
Date of experience: December 2018,"naks88Mumbai, India","<span class=""ui_bubble_rating bubble_40""></span>","One of the very few beaches which has rocks on the sides. If you are in Anjuna, do not forget to visit Curlies.",A rocky beach?
Date of experience: September 2018,"TanyastravelogueChandigarh, India","<span class=""ui_bubble_rating bubble_50""></span>",When you plan a holiday in Goa you can expect a certain amount of hustle and bustle... most places r crowded and busy... Anjuna beach gives you a respite from that...Anjuna is def a hidden gem and worth visiting at least once... the beaches r...More,Hidden gem 
Date of experience: December 2018,"tejenderyFaridabad, India","<span class=""ui_bubble_rating bubble_20""></span>",Can't say for others but Anjuna is worst in all top beaches of Goa. Dirtiest..Even food shacks & restaurant are not upto mark excluding 1-2. It's better to skip Anjuna in Goa,Worst Beach 
Date of experience: November 2018,"dmplbksh90Bengaluru, India","<span class=""ui_bubble_rating bubble_30""></span>",You won't be able to see many sea animals on beaches of Goa for obvious reasons of humans intervention. But this is the beach where you shall get many little and big crabs and fishes very near to the shore. Animal lovers this is the...More,Crabs and more crabs
Date of experience: November 2018,roysons,"<span class=""ui_bubble_rating bubble_50""></span>","Anjuna, a small village on the North coast of Goa, is amongst those few places to see in Goa which receive a lot of tourists.",Must Visit
